frame_idx,timestamp,infer_ms,track_id,best_conf,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,center_x,center_y,h_px,missed
5,0.2,32.35362912528217,3,0.7112953662872314,0,0.0,IDLE,,,,,,,,,873.5210571289062,,624.8384399414062,False,536.5845947265625,822.9281005859375,960.1219482421875,0
6,0.24,28.227676171809435,1,0.8045017719268799,0,0.0,IDLE,,,,,,,,,858.6678466796875,,603.5042724609375,False,1289.8792724609375,805.0422973632812,1074.70703125,0
6,0.24,28.227676171809435,2,0.8403487801551819,0,0.0,IDLE,,,,,,,,,893.44580078125,,658.87548828125,False,2039.7384033203125,888.4862670898438,856.1329345703125,0
6,0.24,28.227676171809435,3,0.6939890384674072,0,0.0,IDLE,,,,,,,,,873.3869018554688,,625.1475219726562,False,533.1112060546875,824.5540771484375,963.1009521484375,0
7,0.28,27.831326005980372,1,0.7982186675071716,0,0.0,IDLE,,,,,,,,,859.1812744140625,,603.3011474609375,False,1286.8505859375,802.74169921875,1076.517822265625,0
7,0.28,27.831326005980372,2,0.829524040222168,0,0.0,IDLE,,,,,,,,,893.3721923828125,,659.1925048828125,False,2039.4405517578125,889.4844970703125,855.0491333007812,0
7,0.28,27.831326005980372,3,0.6716538071632385,0,0.0,IDLE,,,,,,,,,875.46044921875,,626.3787231445312,False,530.67138671875,823.7510375976562,974.7689208984375,0
8,0.32,28.046977939084172,1,0.7607433795928955,0,0.0,IDLE,,,,,,,,,860.506103515625,,603.5347900390625,False,1279.4931640625,803.9793090820312,1069.8165283203125,0
8,0.32,28.046977939084172,2,0.8298382759094238,0,0.0,IDLE,,,,,,,,,894.6015625,,658.6483764648438,False,2039.691650390625,888.5811157226562,858.57421875,0
8,0.32,28.046977939084172,3,0.6789661049842834,0,0.0,IDLE,,,,,,,,,874.86572265625,,626.7686767578125,False,524.959716796875,821.8826904296875,990.8069458007812,0
9,0.36,27.827104087918997,1,0.795892059803009,0,0.0,IDLE,,,,,,14.474624523925781,4.824874841308594,860.4605102539062,860.4554443359375,603.6596069335938,604.7830810546875,False,1267.2960205078125,806.6752319335938,1048.145263671875,0
9,0.36,27.827104087918997,2,0.8417268991470337,0,0.0,IDLE,,,,,,8.58389368057251,0.7848260375976562,894.393310546875,894.017578125,658.9071655273438,658.7176513671875,False,2040.11181640625,886.3875122070312,858.3893432617188,0
10,0.4,28.271252987906337,1,0.782990574836731,0,0.0,IDLE,,,,,,10.143635773658753,0.9969362915039062,860.4754638671875,860.4754638671875,604.7830810546875,606.9778442382812,False,1245.96533203125,817.7311401367188,1014.3635864257812,0
10,0.4,28.271252987906337,2,0.8465749025344849,0,0.0,IDLE,,,,,,8.600403213500977,0.8046435058593749,894.3701782226562,894.3692016601562,659.012939453125,659.012939453125,False,2039.89306640625,886.2220458984375,860.0403442382812,0
10,0.4,28.271252987906337,3,0.8487958908081055,0,0.0,IDLE,,,,,,9.789523887634278,0.7494894104003906,874.9251708984375,873.0415649414062,626.865966796875,627.7418823242188,False,518.412109375,824.1002197265625,978.952392578125,0
11,0.44,28.86459301225841,1,0.775967001914978,0,0.0,IDLE,,,,,,9.412613868713379,0.37445061035156246,860.5030517578125,860.7080078125,605.3399658203125,605.40185546875,False,1226.875244140625,835.1725463867188,941.2614135742188,0
