frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
28,1.12,203.32635498046875,110.5750961303711,2.0199499130249023,False,14.782716751098633,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
29,1.16,206.65492248535156,113.3193588256836,2.805356025695801,False,14.093794822692871,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
30,1.2,207.50582885742188,112.53983306884766,0.8640846610069275,False,15.219711303710938,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
31,1.24,205.5029296875,109.78289031982422,2.761388063430786,False,16.808204650878906,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
32,1.28,204.3297119140625,108.03453826904297,1.7493726015090942,False,17.10814666748047,False,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
33,1.32,199.8973388671875,104.73429107666016,3.3045952320098877,False,15.690459251403809,True,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
34,1.36,197.42330932617188,103.0221176147461,1.7218031883239746,False,14.986503601074219,True,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
35,1.4,196.77467346191406,103.22480010986328,0.22445163130760193,False,15.432252883911133,True,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
36,1.44,196.69622802734375,103.55602264404297,0.3326564133167267,False,14.945469856262207,True,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
37,1.48,198.623291015625,105.8333740234375,2.279266834259033,False,14.868143081665039,True,2,0,2,double,2.7777776673988104,166.66666004392863,JUMPING
38,1.52,204.7221221923828,111.05902862548828,5.225656032562256,False,14.810816764831543,False,3,0,3,double,2.500000149011621,150.00000894069726,JUMPING
39,1.56,208.75839233398438,113.91180419921875,2.858189344406128,False,14.032648086547852,False,3,0,3,double,2.500000149011621,150.00000894069726,JUMPING
