frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
24,0.96,241.67860412597656,89.62936401367188,11.181954383850098,False,9.441044807434082,True,1,0,1,double,0.0,0.0,JUMPING
25,1.0,229.00802612304688,78.41488647460938,11.25084400177002,False,11.013779640197754,True,1,0,1,double,0.0,0.0,JUMPING
26,1.04,219.42762756347656,69.898193359375,8.538274765014648,False,11.95034408569336,True,1,0,1,double,0.0,0.0,JUMPING
27,1.08,214.88272094726562,65.06851196289062,4.92300271987915,False,12.83153247833252,True,1,0,1,double,0.0,0.0,JUMPING
28,1.12,215.87130737304688,64.48075866699219,1.0615369081497192,False,13.171985626220703,True,1,0,1,double,0.0,0.0,JUMPING
29,1.16,217.52976989746094,64.9166259765625,0.7067937254905701,False,12.28966999053955,True,1,0,1,double,0.0,0.0,JUMPING
30,1.2,221.77490234375,69.68353271484375,4.949774742126465,False,8.289766311645508,True,1,0,1,double,0.0,0.0,JUMPING
31,1.24,230.3094024658203,78.60299682617188,9.057209014892578,False,7.306706428527832,True,1,0,1,double,0.0,0.0,JUMPING
32,1.28,243.05728149414062,92.03084564208984,13.568377494812012,False,7.475310802459717,True,1,0,1,double,0.0,0.0,JUMPING
33,1.32,258.78948974609375,106.85401153564453,14.945908546447754,False,10.917119026184082,False,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
34,1.36,267.4013671875,116.23074340820312,9.517845153808594,False,12.517911911010742,False,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
35,1.4,271.12762451171875,120.52632904052734,4.311398029327393,False,12.664664268493652,False,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
36,1.44,265.97027587890625,115.6693115234375,4.895974159240723,False,11.65841007232666,False,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
37,1.48,254.68505859375,103.32177734375,12.347886085510254,False,7.475162982940674,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
38,1.52,242.07427978515625,90.30050659179688,13.028982162475586,False,6.606579780578613,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
39,1.56,229.3539581298828,78.18197631835938,12.121648788452148,False,7.7421722412109375,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
40,1.6,220.85333251953125,68.82322692871094,9.35905647277832,False,10.205521583557129,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
41,1.64,217.23599243164062,64.65450286865234,4.168792247772217,False,12.426064491271973,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
42,1.68,215.88198852539062,63.48537826538086,1.2014527320861816,False,12.099757194519043,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
43,1.72,218.80764770507812,65.81707763671875,2.3330564498901367,False,10.30534553527832,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
44,1.76,226.37939453125,72.1039810180664,6.29850959777832,False,8.287336349487305,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
45,1.8,237.22235107421875,82.42280578613281,10.322243690490723,False,7.735781192779541,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
46,1.84,250.8807373046875,96.98770141601562,14.58686637878418,False,8.867116928100586,True,2,0,2,double,1.7857140880458429,107.14284528275057,JUMPING
