frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,cycle_ok,dt,expected_dt,amp,amp_ewma,lift_th,lift_noise_sigma,min_air_y,ground_y,ankle_distance,hip_y,is_airborne
22,0.88,0.9112735390663147,98.42559997923672,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.30736083984374,15.516460418701172,212.40203857421875,True
23,0.92,0.900204598903656,114.76249998668209,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.25068359375,14.271201133728027,210.68865966796875,True
24,0.96,0.8764919638633728,76.27200003480539,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.19400634765626,12.630389213562012,213.37734985351562,True
25,1.0,0.8873809576034546,76.26140001229942,1,0,1,double,0.0,JUMPING,False,,,,11.199114990234364,8.3839428314209,2.794647610473633,,224.1373291015625,14.073387145996094,213.78738403320312,True
26,1.04,0.8823584914207458,50.98070000531152,2,0,2,double,166.66668763867395,JUMPING,True,0.36,0.36,13.391992187499994,11.747334289550771,8.3839428314209,2.794647610473633,210.68865966796875,224.08065185546874,14.097697257995605,216.32850646972656,False
27,1.08,0.844997763633728,42.31900000013411,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,8.3839428314209,2.794647610473633,,224.023974609375,8.876035690307617,216.88833618164062,False
28,1.12,0.8573629856109619,44.700700032990426,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,9.753655654907227,3.251218551635742,,223.96729736328126,8.914875030517578,218.5838165283203,False
29,1.16,0.8441892266273499,40.3398999478668,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,9.673978573608398,3.2246595245361327,,224.57355346679688,7.796350002288818,226.01101684570312,False
30,1.2,0.8881654143333435,32.43940003449097,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,7.073343072509765,2.3577810241699217,,225.9490966796875,5.7686872482299805,226.7359619140625,False
31,1.24,0.8623010516166687,31.37730003800243,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,8.521647088623046,2.8405490295410156,,225.79625854492187,8.265348434448242,220.27748107910156,False
32,1.28,0.8737292885780334,31.868799997027963,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,8.521647088623046,2.8405490295410156,,225.64342041015624,11.057640075683594,216.4305419921875,True
33,1.32,0.9061055183410645,41.143600014038384,2,0,2,double,166.66668763867395,JUMPING,False,,0.36,,11.747334289550771,8.521647088623046,2.8405490295410156,,225.49058227539064,5.191077709197998,212.12937927246094,True
