frame_idx,timestamp,best_conf,infer_ms,hip_y,hip_baseline,hip_signal,dyn_thr,head_y,head_move_px,head_drop_event,ankle_distance,is_jumping,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,person_h
10,0.4,0.9104920625686646,28.394300024956465,234.8103485107422,234.94837951660156,0.138031005859375,2.498667008972168,116.8810043334961,0.3518279194831848,False,28.951826095581055,True,0,0,0,single,0.0,0.0,IDLE,312.333376121521
11,0.44,0.9175822734832764,34.99239997472614,235.28387451171875,234.97633361816406,-0.3075408935546875,2.445469999694824,117.01593017578125,0.31775787472724915,False,26.645280838012695,True,0,0,0,single,0.0,0.0,IDLE,305.683749961853
12,0.48,0.9106638431549072,29.812399996444583,236.48529052734375,235.09242248535156,-1.3928680419921875,2.4517714599609373,116.9171371459961,0.18904656171798706,False,25.211889266967773,False,1,1,0,single,0.0,0.0,JUMPING,306.47143249511714
13,0.52,0.7905533909797668,29.75670003797859,237.09092712402344,235.2351531982422,-1.85577392578125,2.439220523071289,116.83568572998047,0.1624050736427307,False,25.338970184326172,False,1,1,0,single,0.0,0.0,JUMPING,304.9025653839111
14,0.56,0.9169057011604309,33.844899968244135,237.322998046875,235.3743438720703,-1.9486541748046875,2.3748864852905274,116.69076538085938,0.4478548765182495,False,24.69451332092285,False,1,1,0,single,0.0,0.0,JUMPING,296.8608106613159
15,0.6,0.9347666501998901,27.110899973195046,236.9820098876953,235.47482299804688,-1.5071868896484375,2.388520051574707,116.6380386352539,0.6001904010772705,False,24.128992080688477,False,1,1,0,single,0.0,0.0,JUMPING,298.56500644683837
16,0.64,0.9145628213882446,26.325599988922477,237.39215087890625,235.5876007080078,-1.8045501708984375,2.3250609420776365,116.45669555664062,0.8224567770957947,False,25.19732093811035,False,1,1,0,double,0.0,0.0,JUMPING,290.63261775970454
17,0.68,0.9189597964286804,26.40950004570186,237.15521240234375,235.67469787597656,-1.4805145263671875,2.349543370056152,116.62310791015625,0.4475264847278595,False,25.18478012084961,False,1,1,0,double,0.0,0.0,JUMPING,293.692921257019
18,0.72,0.8810738921165466,26.21550002368167,237.34307861328125,235.76251220703125,-1.58056640625,2.3056620162963863,116.73184204101562,0.9666149616241455,False,24.46250343322754,False,1,1,0,double,0.0,0.0,JUMPING,288.2077520370483
19,0.76,0.9139450192451477,26.961600000504404,238.15658569335938,235.88223266601562,-2.27435302734375,2.2451641845703127,116.64923095703125,0.9660630822181702,False,24.655250549316406,False,1,1,0,double,0.0,0.0,JUMPING,280.64552307128906
20,0.8,0.9060258269309998,28.12979998998344,238.45086669921875,236.00453186035156,-2.4463348388671875,2.22009172668457,116.49173736572266,1.4352647066116333,False,25.199462890625,False,1,1,0,double,0.0,0.0,JUMPING,277.51146583557124
21,0.84,0.9085007905960083,25.80519998446107,237.934326171875,236.0922393798828,-1.8420867919921875,2.203000003051758,116.20256805419922,1.0800273418426514,False,24.07199478149414,False,1,1,0,double,0.0,0.0,JUMPING,275.3750003814697
22,0.88,0.919352650642395,26.699300040490925,237.82589721679688,236.1676025390625,-1.658294677734375,2.210275534057617,116.03524780273438,1.9351797103881836,False,23.146482467651367,False,1,1,0,double,0.0,0.0,JUMPING,276.2844417572021
23,0.92,0.9227918386459351,30.712699983268976,238.02503967285156,236.2450408935547,-1.779998779296875,2.207296513366699,115.99053955078125,0.8443546295166016,False,23.088186264038086,False,1,1,0,double,0.0,0.0,JUMPING,275.91206417083737
24,0.96,0.9187533855438232,35.10959999402985,237.7883758544922,236.30677795410156,-1.481597900390625,2.225591720581055,115.95304107666016,0.2600269913673401,False,22.645652770996094,False,1,1,0,double,0.0,0.0,JUMPING,278.19896507263184
25,1.0,0.9138410091400146,27.260900009423494,237.82382202148438,236.20037841796875,-1.623443603515625,2.22770390625,115.97335052490234,0.6235455870628357,False,23.36826515197754,False,1,1,0,double,0.0,0.0,JUMPING,278.46298828125
26,1.04,0.9221617579460144,25.736599985975772,238.2054901123047,236.12220764160156,-2.083282470703125,2.2182430389404293,116.0415267944336,0.39044347405433655,False,23.060043334960938,False,1,1,0,double,0.0,0.0,JUMPING,277.2803798675537
