frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2,track_cx,track_cy
4,0.16,3,0.7207552790641785,27.757920091971755,0,0.0,IDLE,,,,,,,,,849.0709838867188,,625.1068115234375,False,417,336,685,1300,528.3381500244141,849.6022644042969
4,0.16,2,0.8267645239830017,27.757920091971755,0,0.0,IDLE,,,,,,,,,859.0703125,,613.3221435546875,False,1053,424,1482,1308,1249.219970703125,859.6369018554688
5,0.2,3,0.7542015314102173,27.73746708407998,0,0.0,IDLE,,,,,,,,,849.7697143554688,,625.032470703125,False,419,339,686,1298,528.3058624267578,850.9380493164062
5,0.2,1,0.8467559814453125,27.73746708407998,0,0.0,IDLE,,,,,,,,,875.6530151367188,,647.4346923828125,False,1891,454,2175,1312,2035.3858642578125,874.8972778320312
5,0.2,2,0.8290997743606567,27.73746708407998,0,0.0,IDLE,,,,,,,,,857.472412109375,,612.8353881835938,False,1058,428,1487,1303,1251.3237915039062,856.3762512207031
6,0.24,3,0.7437994480133057,27.814762899652123,0,0.0,IDLE,,,,,,,,,848.6148681640625,,624.1839599609375,False,420,344,685,1299,527.6390991210938,848.144775390625
6,0.24,2,0.8496213555335999,27.814762899652123,0,0.0,IDLE,,,,,,,,,857.0187377929688,,613.9876708984375,False,1061,430,1492,1307,1254.4398193359375,857.0020446777344
6,0.24,1,0.8613002300262451,27.814762899652123,0,0.0,IDLE,,,,,,,,,874.4886474609375,,647.0931396484375,False,1895,457,2177,1313,2031.5806884765625,874.4915161132812
7,0.28,3,0.7351123094558716,27.58683101274073,0,0.0,IDLE,,,,,,,,,848.7459716796875,,624.5980224609375,False,421,340,684,1299,526.8666687011719,849.519775390625
7,0.28,1,0.8453980088233948,27.58683101274073,0,0.0,IDLE,,,,,,,,,873.937744140625,,646.7569580078125,False,1893,453,2177,1312,2031.617919921875,874.4862670898438
7,0.28,2,0.8341569304466248,27.58683101274073,0,0.0,IDLE,,,,,,,,,855.671630859375,,614.760498046875,False,1058,432,1500,1305,1256.1927490234375,854.8627624511719
8,0.32,1,0.8516814708709717,27.942497050389647,0,0.0,IDLE,,,,,,,,,874.101318359375,,646.4243774414062,False,1892,452,2176,1312,2032.3598022460938,875.2098999023438
8,0.32,3,0.7548142075538635,27.942497050389647,0,0.0,IDLE,,,,,,,,,847.7999267578125,,624.130615234375,False,418,335,683,1292,528.5825653076172,847.3462829589844
8,0.32,2,0.6362525224685669,27.942497050389647,0,0.0,IDLE,,,,,,,,,854.2866821289062,,616.708251953125,False,1040,429,1506,1304,1254.4229125976562,853.6348266601562
9,0.36,1,0.8095344305038452,27.726606000214815,0,0.0,IDLE,,,,,,8.716971313476563,2.9056571044921875,878.6338500976562,874.077392578125,647.617919921875,646.2513427734375,False,1892,453,2175,1310,2030.7153930664062,874.7037353515625
9,0.36,3,0.7342715859413147,27.726606000214815,0,0.0,IDLE,,,,,,9.607215857505798,1.6509127441406248,851.86376953125,847.2484741210938,625.9012451171875,623.9785766601562,False,420,335,684,1296,528.2821502685547,847.312744140625
9,0.36,2,0.8510892391204834,27.726606000214815,0,0.0,IDLE,,,,,,8.61176290512085,1.9454600463867187,858.8131713867188,854.2137451171875,616.8431396484375,618.0570068359375,False,1043,431,1524,1292,1259.0377807617188,855.0579833984375
10,0.4,1,0.8563790321350098,27.669943869113922,0,0.0,IDLE,,,,,,8.622710609436036,2.445602270507812,878.4083251953125,874.97607421875,647.6031494140625,646.214599609375,False,1894,455,2176,1317,2031.6969604492188,876.3744812011719
10,0.4,2,0.8373382687568665,27.669943869113922,0,0.0,IDLE,,,,,,8.658031225204468,2.3076491638183594,858.7846069335938,855.1744384765625,618.0570068359375,619.216064453125,False,1041,431,1532,1297,1259.0521850585938,856.8436279296875
