frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
15,0.6,0.91204434633255,33.85810001054779,209.80560302734375,127.99047088623047,0.7163966298103333,False,11.511907577514648,False,0,0,0,double,0.0,0.0,IDLE,295.9102127075195,198.60510482788084
16,0.64,0.9127171039581299,29.682799999136478,211.23080444335938,129.5798797607422,1.5946857929229736,False,10.92895221710205,False,0,0,0,double,0.0,0.0,IDLE,295.9254150390625,196.46892700195312
17,0.68,0.9113166332244873,32.28899999521673,213.63510131835938,132.2162628173828,2.6402077674865723,False,9.590970039367676,False,0,0,0,double,0.0,0.0,IDLE,295.9228332519531,194.0445461273193
18,0.72,0.9192487597465515,32.45920001063496,217.11705017089844,135.4391632080078,3.2673470973968506,False,9.147073745727539,False,0,0,0,double,0.0,0.0,IDLE,295.9244445800781,190.22638359069822
19,0.76,0.9181134104728699,33.6770000285469,219.26852416992188,137.75904846191406,2.3576111793518066,False,9.3906888961792,False,0,0,0,double,0.0,0.0,IDLE,295.90757141113284,187.28843917846677
20,0.8,0.9198572039604187,34.30909998132847,221.00613403320312,138.1038055419922,0.4153677523136139,False,9.706528663635254,False,0,0,0,double,0.0,0.0,IDLE,296.0033721923828,187.85243473052978
21,0.84,0.9087396264076233,33.48410001490265,220.359130859375,135.70668029785156,2.401158571243286,False,9.974371910095215,False,0,0,0,double,0.0,0.0,IDLE,295.9890176391601,193.00090293884276
22,0.88,0.9199355244636536,39.21380001702346,216.55877685546875,130.58473205566406,5.150798797607422,False,11.393876075744629,False,0,0,0,double,0.0,0.0,IDLE,296.0278057861328,198.50261421203612
23,0.92,0.9197685718536377,54.00569998892024,211.37338256835938,124.52666473388672,6.078330993652344,False,12.024487495422363,False,0,0,0,double,0.0,0.0,IDLE,296.05119659423826,205.95458755493163
24,0.96,0.9290164709091187,91.01789997657761,203.4420166015625,117.28983306884766,7.247025489807129,False,14.376364707946777,True,0,0,0,double,0.0,0.0,IDLE,296.02705322265626,199.45875015258787
25,1.0,0.9270294904708862,62.41149999550544,197.60623168945312,112.43033599853516,4.85951042175293,False,14.00517749786377,True,0,0,0,double,0.0,0.0,IDLE,296.0223922729492,200.12701148986815
26,1.04,0.9273767471313477,63.79300000844523,194.25778198242188,110.37158203125,2.0632967948913574,False,13.734317779541016,True,0,0,0,double,0.0,0.0,IDLE,296.0177313232422,198.66830711364744
27,1.08,0.93373703956604,60.026399994967505,192.48147583007812,109.36363983154297,1.0169521570205688,False,14.279438018798828,True,0,0,0,double,0.0,0.0,IDLE,296.01307037353513,196.9455638885498
28,1.12,0.9307449460029602,55.67110000993125,192.50970458984375,109.77159881591797,0.5226350426673889,False,12.920852661132812,True,0,0,0,double,0.0,0.0,IDLE,296.00840942382814,197.95307807922362
29,1.16,0.9235605001449585,30.279900005552918,193.8984375,111.3836898803711,1.6155904531478882,False,12.553144454956055,True,0,0,0,double,0.0,0.0,IDLE,296.0007455444336,203.35925865173337
30,1.2,0.9217590689659119,37.80439999536611,196.73553466796875,114.79888916015625,3.4160327911376953,False,11.245820999145508,True,0,0,0,double,0.0,0.0,IDLE,295.993081665039,206.4097816467285
31,1.24,0.9073678851127625,35.37800000049174,201.0271453857422,119.35881805419922,4.560177326202393,False,12.801292419433594,False,1,0,1,double,0.0,0.0,JUMPING,295.97893218994136,207.273327255249
