frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
15,0.6,155.78897094726562,93.97711944580078,1.3169394731521606,False,3.203326940536499,True,0,0,0,double,0.0,0.0,IDLE
16,0.64,155.04933166503906,93.44001770019531,0.5508056879043579,False,2.0879626274108887,True,0,0,0,double,0.0,0.0,IDLE
17,0.68,155.20162963867188,94.49114990234375,1.0639234781265259,False,1.3063985109329224,True,0,0,0,double,0.0,0.0,IDLE
18,0.72,156.3807830810547,96.69972229003906,2.2365548610687256,False,2.8325247764587402,False,1,0,1,double,0.0,0.0,JUMPING
19,0.76,158.3548583984375,99.40057373046875,2.7127115726470947,False,4.285932540893555,False,1,0,1,double,0.0,0.0,JUMPING
20,0.8,161.059326171875,102.07624816894531,2.681950092315674,False,4.5072455406188965,False,1,0,1,double,0.0,0.0,JUMPING
21,0.84,162.42953491210938,103.29296875,1.2247563600540161,False,4.373677730560303,False,1,0,1,double,0.0,0.0,JUMPING
22,0.88,162.998779296875,104.17448425292969,0.8894578814506531,False,3.7182257175445557,False,1,0,1,double,0.0,0.0,JUMPING
23,0.92,162.40658569335938,103.19564056396484,1.008217215538025,False,3.1885464191436768,False,1,0,1,double,0.0,0.0,JUMPING
24,0.96,161.531494140625,100.68595886230469,2.517190456390381,False,2.5875754356384277,False,1,0,1,double,0.0,0.0,JUMPING
25,1.0,160.21514892578125,97.99632263183594,2.6935155391693115,False,2.537635326385498,False,1,0,1,double,0.0,0.0,JUMPING
26,1.04,157.71055603027344,95.61717224121094,2.3832390308380127,False,4.211553573608398,False,1,0,1,double,0.0,0.0,JUMPING
27,1.08,156.75100708007812,94.2691879272461,1.3786133527755737,False,2.2555434703826904,False,1,0,1,double,0.0,0.0,JUMPING
28,1.12,155.97622680664062,93.73558807373047,0.5489388108253479,False,1.9703730344772339,True,1,0,1,double,0.0,0.0,JUMPING
29,1.16,156.13629150390625,94.65864562988281,0.9313279390335083,False,1.7708781957626343,True,1,0,1,double,0.0,0.0,JUMPING
30,1.2,157.25070190429688,96.83036804199219,2.177164316177368,False,2.3694024085998535,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
31,1.24,159.489013671875,99.70379638671875,2.873429536819458,False,4.0459089279174805,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
32,1.28,160.49627685546875,101.30792236328125,1.6041980981826782,False,4.6512908935546875,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
33,1.32,161.7920684814453,103.8424301147461,2.5345113277435303,False,4.413968086242676,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
34,1.36,163.94894409179688,105.48117065429688,1.6462104320526123,False,2.900181531906128,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
35,1.4,164.7926025390625,106.17872619628906,0.6977525353431702,False,2.4172425270080566,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
36,1.44,162.73904418945312,104.04296875,2.1401548385620117,False,2.4474401473999023,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
37,1.48,160.8098907470703,101.10074615478516,2.944464683532715,False,2.5637848377227783,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
38,1.52,158.92434692382812,98.27162170410156,2.8309290409088135,False,2.7491767406463623,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
39,1.56,158.44818115234375,96.7812271118164,1.4913294315338135,False,2.8741490840911865,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
40,1.6,156.85842895507812,95.6846694946289,1.1344562768936157,False,2.082641839981079,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
41,1.64,156.45010375976562,95.83242797851562,0.3276917040348053,False,3.2285540103912354,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
42,1.68,156.9910888671875,97.42317199707031,1.5907875299453735,False,3.9384572505950928,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
43,1.72,158.00299072265625,98.3429183959961,0.924100399017334,False,4.212148189544678,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
44,1.76,160.92501831054688,101.1379165649414,2.795163154602051,False,3.03518009185791,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
45,1.8,162.2410430908203,104.04837036132812,2.910776138305664,False,3.3128063678741455,False,2,0,2,double,2.083333250549108,124.99999503294647,JUMPING
