frame_idx,timestamp,best_conf,infer_ms,jump_count,jump_type,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne
17,0.017,0.9136353135108948,12.254694011062384,0,unknown,0.0,IDLE,False,,,,,,6.0107635045051575,0.11535304870605469,439.2571716308594,438.87750244140625,277.2024841308594,277.1102294921875,False
18,0.018,0.9139864444732666,11.818091035820544,0,unknown,0.0,IDLE,False,,,,,,6.058942216396332,0.11609959716796875,439.22845458984375,438.8917236328125,277.1875305175781,277.0567932128906,False
19,0.019,0.9136353135108948,11.736273067072034,0,unknown,0.0,IDLE,False,,,,,,6.0107635045051575,0.14654972534179686,439.19970703125,438.8741455078125,277.1725769042969,277.1358947753906,False
20,0.02,0.914614737033844,12.25481298752129,0,unknown,0.0,IDLE,False,,,,,,6.06618929719925,0.11609959716796875,439.17095947265625,439.07476806640625,277.1576232910156,276.8922119140625,False
21,0.021,0.9166333079338074,11.629767017439008,0,unknown,0.0,IDLE,False,,,,,,6.056298432350159,0.11535304870605469,439.1688537597656,439.06719970703125,277.1564636230469,276.73193359375,False
22,0.022,0.9174402952194214,11.529400944709778,0,unknown,0.0,IDLE,False,,,,,,6.026064546108246,0.11609959716796875,439.1667785644531,438.758544921875,277.15533447265625,276.4652099609375,False
23,0.023,0.9172679781913757,12.546506011858582,0,unknown,0.0,IDLE,False,,,,,,6.002524425029755,0.14654972534179686,439.1646728515625,438.7953796386719,277.1541748046875,276.9801025390625,False
24,0.024,0.9179058074951172,11.391268926672637,0,unknown,0.0,IDLE,False,,,,,,6.055694107055664,0.1433373046875,439.16259765625,438.9755554199219,277.24737548828125,277.6565856933594,False
25,0.025,0.9152037501335144,11.43192604649812,0,unknown,0.0,IDLE,False,,,,,,5.949999876022339,0.14654972534179686,439.26708984375,439.36322021484375,277.44549560546875,277.9363708496094,False
26,0.026,0.9176937937736511,12.496905052103102,0,unknown,0.0,IDLE,False,,,,,,5.937469122409821,0.1433373046875,439.24786376953125,439.02685546875,277.4178466796875,277.2647705078125,False
27,0.027,0.9220050573348999,11.704697040840983,0,unknown,0.0,IDLE,False,,,,,,5.863383997917175,0.1257142364501953,439.2286376953125,439.0537414550781,277.3901672363281,276.52044677734375,False
28,0.028,0.9202120900154114,11.321846046485007,0,unknown,0.0,IDLE,False,,,,,,5.743910111427307,0.11609959716796875,439.20941162109375,439.1599426269531,277.3625183105469,276.46881103515625,False
29,0.029,0.923059344291687,12.262062053196132,0,unknown,0.0,IDLE,False,,,,,,5.671325783729554,0.11535304870605469,439.190185546875,439.1226501464844,277.3348388671875,275.318115234375,False
