frame_idx,timestamp,track_id,conf,infer_ms,jump_count,spm,state,cycle_ok,dt,expected_dt,hip_amp,shoulder_amp,shoulder_amp_th,shoulder_noise_sigma,shoulder_amp_ewma,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne,bbox_x1,bbox_y1,bbox_x2,bbox_y2
3,0.12,2,0.8334051966667175,28.63511606119573,0,0.0,IDLE,True,,,,,,,,,,,,892.9395751953125,,657.386962890625,False,1883,459,2191,1316
4,0.16,1,0.8048685193061829,29.039225075393915,0,0.0,IDLE,True,,,,,,,,,,,,853.956298828125,,600.95556640625,False,1130,258,1451,1338
4,0.16,2,0.8299164175987244,29.039225075393915,0,0.0,IDLE,True,,,,,,,,,,,,894.3701782226562,,657.9786987304688,False,1886,458,2187,1317
4,0.16,3,0.7465132474899292,29.039225075393915,0,0.0,IDLE,True,,,,,,,,,,,,872.510009765625,,624.87109375,False,373,338,705,1300
5,0.2,2,0.8161916732788086,28.608474181964993,0,0.0,IDLE,True,,,,,,,,,,,,894.3194580078125,,658.1221313476562,False,1889,459,2187,1316
5,0.2,1,0.7935211658477783,28.608474181964993,0,0.0,IDLE,True,,,,,,,,,,,,856.6575317382812,,602.3592529296875,False,1129,266,1452,1341
5,0.2,3,0.7112953662872314,28.608474181964993,0,0.0,IDLE,True,,,,,,,,,,,,873.5210571289062,,624.8384399414062,False,369,343,702,1303
6,0.24,1,0.8045017719268799,28.290865011513233,0,0.0,IDLE,True,,,,,,,,,,,,858.6678466796875,,603.5042724609375,False,1127,268,1450,1343
6,0.24,2,0.8403487801551819,28.290865011513233,0,0.0,IDLE,True,,,,,,,,,,,,893.44580078125,,658.87548828125,False,1893,461,2186,1317
6,0.24,3,0.6939890384674072,28.290865011513233,0,0.0,IDLE,True,,,,,,,,,,,,873.3869018554688,,625.1475219726562,False,362,342,702,1305
7,0.28,3,0.6716538071632385,28.555833967402577,0,0.0,IDLE,True,,,,,,,,,,,,875.46044921875,,626.3787231445312,False,360,333,701,1308
7,0.28,2,0.829524040222168,28.555833967402577,0,0.0,IDLE,True,,,,,,,,,,,,893.3721923828125,,659.1925048828125,False,1894,462,2181,1317
7,0.28,1,0.7982186675071716,28.555833967402577,0,0.0,IDLE,True,,,,,,,,,,,,859.1812744140625,,603.3011474609375,False,1116,261,1452,1337
8,0.32,2,0.8298382759094238,28.657367918640375,0,0.0,IDLE,True,,,,,,,,,,,,894.6015625,,658.6483764648438,False,1894,458,2183,1316
8,0.32,3,0.6789661049842834,28.657367918640375,0,0.0,IDLE,True,,,,,,,,,,,,874.86572265625,,626.7686767578125,False,353,323,689,1313
8,0.32,1,0.7607433795928955,28.657367918640375,0,0.0,IDLE,True,,,,,,,,,,,,860.506103515625,,603.5347900390625,False,1086,269,1459,1339
9,0.36,2,0.8417268991470337,28.84499984793365,0,0.0,IDLE,True,,,,,27.46845977783203,0.9858511779785156,,,8.58389368057251,0.7848260375976562,894.393310546875,894.017578125,658.9071655273438,658.7176513671875,False,1896,454,2183,1312
9,0.36,1,0.795892059803009,28.84499984793365,0,0.0,IDLE,True,,,,,33.54064727783203,1.9496226196289062,,,14.474624523925781,4.824874841308594,860.4605102539062,860.4554443359375,603.6596069335938,604.7830810546875,False,1051,285,1459,1333
10,0.4,2,0.8465749025344849,28.004803927615285,0,0.0,IDLE,True,,,,,27.521290283203125,1.089960754394531,,,8.600403213500977,0.8046435058593749,894.3701782226562,894.3692016601562,659.012939453125,659.012939453125,False,1895,456,2182,1316
10,0.4,3,0.8487958908081055,28.004803927615285,0,0.0,IDLE,True,,,,,31.326476440429687,0.8683942199707031,,,9.789523887634278,0.7494894104003906,874.9251708984375,873.0415649414062,626.865966796875,627.7418823242188,False,349,336,680,1315
10,0.4,1,0.782990574836731,28.004803927615285,0,0.0,IDLE,True,,,,,32.45963447570801,2.0811056396484373,,,10.143635773658753,0.9969362915039062,860.4754638671875,860.4754638671875,604.7830810546875,606.9778442382812,False,988,324,1457,1338
11,0.44,2,0.8091909289360046,28.01782707683742,0,0.0,IDLE,True,,,,,27.61741653442383,0.8548658569335937,,,8.630442667007447,0.9188427978515624,894.5784301757812,895.595458984375,658.9992065429688,658.6075439453125,False,1893,459,2183,1322
11,0.44,3,0.82462477684021,28.01782707683742,0,0.0,IDLE,True,,,,,30.717725372314455,1.3322949096679686,,,9.599289178848267,0.953772216796875,874.86572265625,871.8178100585938,627.7418823242188,628.08154296875,False,346,353,677,1313
