frame_idx,timestamp,best_conf,infer_ms,jump_count,spm,state,dt,expected_dt,hip_amp,shoulder_amp,amp_ewma,lift_th,lift_noise_sigma,ground_y,hip_y,shoulder_ground_y,shoulder_y,is_airborne
22,0.7333333333333333,0.8363684415817261,26.705794967710972,0,0.0,IDLE,,,,,,4.743127784729003,1.5810425949096678,239.9066162109375,240.6381072998047,155.8946533203125,151.16502380371094,False
23,0.7666666666666667,0.8187269568443298,26.919889030978084,0,0.0,IDLE,,,,,,4.708888357543945,1.5696294525146484,240.26866149902344,240.27061462402344,155.89247131347656,151.0919189453125,False
24,0.8,0.829686164855957,26.382962008938193,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.3397216796875,240.38580322265625,155.8903045654297,150.6724853515625,False
25,0.8333333333333334,0.8343508243560791,26.58494608476758,0,0.0,IDLE,,,,,,4.782932391357422,1.5943107971191406,240.32821655273438,238.83926391601562,155.88812255859375,150.4138946533203,False
26,0.8666666666666667,0.718122661113739,26.56249003484845,0,0.0,IDLE,,,,,,4.378778201293946,1.4595927337646484,240.3166961669922,237.56304931640625,155.8859405517578,149.43252563476562,False
27,0.9,0.8502150774002075,26.844920124858618,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.30517578125,238.36476135253906,155.88377380371094,149.28883361816406,False
28,0.9333333333333333,0.8641213178634644,26.41333802603185,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.2936553955078,234.09197998046875,155.881591796875,148.65162658691406,True
29,0.9666666666666667,0.8230147957801819,26.603978127241135,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.28213500976562,233.61358642578125,155.87942504882812,148.58558654785156,True
30,1.0,0.8880345225334167,26.53662208467722,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.27061462402344,233.25543212890625,155.8772430419922,148.51443481445312,True
31,1.0333333333333334,0.8551955819129944,26.585537008941174,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.26995849609375,233.45089721679688,155.8716278076172,149.0932159423828,True
32,1.0666666666666667,0.8535798788070679,26.408299105241895,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.26930236816406,233.832763671875,155.8660125732422,149.30975341796875,True
33,1.1,0.8455836772918701,26.517248013988137,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.26866149902344,234.13809204101562,155.86038208007812,149.38150024414062,True
34,1.1333333333333333,0.8274756073951721,26.49408602155745,0,0.0,IDLE,,,,,,4.2691034454345695,1.4230344818115233,240.26800537109375,234.22506713867188,155.85476684570312,150.33624267578125,True
